	Peridinin	19'-Butanoyloxyfucoxanthin	Fucoxanthin	Neoxanthin	Prasinoxanthin	19'-keto-hexanoyloxyfucoxanthin	Violaxanthin	19'-hexanoyloxyfucoxanthin	Astaxanthin	Diadinoxanthin	Dinoxanthin	Antheraxanthin	Alloxanthin	Myxoxanthophyll	Diatoxanthin	Zeaxanthin	Lutein	Canthaxanthin	Gyroxanthin diester	Echinenone	"B,e-carotene"	"B,B-carotene"
597.9	0.000463402	0.00062747	0.000289862	0.001254622	0.000125974	0.000737818	0.000229711	-0.000131456	0.000164136	0.00093096	0.000645074	0.001216799	0.00025223	0.000566563	0.000362358	0.000260968	0.000228758	0.000616613	0.000931249	0.000647202	-4.22769E-05	0.000753942
597.1	0.00046883	0.000685711	0.000271789	0.001313645	0.000138703	0.000706191	0.000224648	-0.000114489	0.00019041	0.000874123	0.000530306	0.001143468	0.000232065	0.000540349	0.000334833	0.000276255	0.000246871	0.0006149	0.000885975	0.000638703	2.13276E-05	0.000839396
596.2	0.000502179	0.000662843	0.000272032	0.001323766	0.000176742	0.000751045	0.000206767	-0.000103595	0.000168762	0.000900521	0.000599318	0.001202949	0.000317212	0.000518222	0.000357635	0.000291529	0.000190439	0.00057444	0.001029206	0.000641815	-4.0095E-05	0.000702123
595.4	0.000518031	0.000685149	0.000254399	0.001276027	0.000177466	0.000637805	0.000234802	-5.98916E-05	0.000187125	0.000853157	0.000478449	0.00111932	0.000275528	0.00060574	0.000353076	0.000262689	0.000237459	0.000585152	0.000957306	0.000663553	-2.07792E-05	0.000844895
594.5	0.000505902	0.000694828	0.000273759	0.001278179	0.000201816	0.000730157	0.000218928	-0.000121585	0.000173166	0.000885949	0.000640497	0.001221689	0.000331614	0.000548667	0.000402655	0.000291722	0.000214728	0.000661121	0.000963972	0.000638577	-4.18674E-05	0.000763518
593.7	0.000510693	0.000668285	0.000265953	0.001303023	0.000143422	0.000637385	0.000241093	-4.50059E-05	0.00019767	0.000888953	0.00052487	0.001110578	0.00025581	0.000591068	0.000326886	0.000245679	0.000234382	0.000613978	0.000927705	0.000670496	-1.71374E-05	0.000803508
592.8	0.00050651	0.00065551	0.000264696	0.001291235	0.000233157	0.000734886	0.000238023	-0.000121669	0.00018045	0.000921012	0.000597969	0.001149018	0.000321811	0.000601462	0.000412913	0.000268497	0.000237055	0.000637789	0.000968675	0.000677609	-4.59232E-05	0.000779048
591.9	0.000528393	0.000723053	0.000271054	0.001306783	0.000166018	0.000674624	0.000263714	-7.59548E-05	0.0002074	0.000884191	0.000489798	0.00112933	0.000265531	0.000566576	0.000314341	0.000251925	0.000251123	0.000617095	0.000889757	0.000662936	-4.59898E-05	0.000796078
591.1	0.000563743	0.000660287	0.000263243	0.001356625	0.000189181	0.00071725	0.000193985	-0.000115101	0.000177815	0.000931522	0.000612536	0.001135776	0.000304784	0.000672155	0.000347889	0.000295275	0.000233909	0.000684581	0.000960423	0.000690104	-9.89834E-05	0.000830037
590.2	0.000542058	0.000675265	0.000248785	0.001301517	0.000166365	0.000714302	0.00023042	-4.60321E-05	0.000246204	0.000848735	0.000541604	0.001070894	0.000254181	0.00058729	0.000332424	0.00023715	0.000229078	0.000701614	0.000881139	0.000673139	-4.43954E-06	0.00081723
589.4	0.000568265	0.000674723	0.000244114	0.001339357	0.000198791	0.000670275	0.000259809	-8.23341E-05	0.000272528	0.000927859	0.000575069	0.00114104	0.000291672	0.000610821	0.000384133	0.000287837	0.000228991	0.000719	0.001034542	0.00070792	-5.19216E-05	0.000780457
